No,Nama Pesantren,Alamat,Telepon,Desa/Kelurahan,Kecamatan,Kode Pos,Tahun Berdiri,Nama Pimpinan,Kurikulum,Fasilitas,Biaya Masuk (Rp),Biaya Bulanan (Rp)
12,Al Iman Muntilan,"Muntilan",,Muntilan,Magelang,,,"Muh. Zuhaery, K","Salaf Modern","Masjid, Asrama, Sekolah Formal","8.000.000 - 8.400.000","800.000"
13,Bina Madani Putri,"Muntilan",,Muntilan,Magelang,,,"-","Tahfidz","Masjid, Asrama, Perpustakaan","2.000.000 - 3.500.000","700.000 - 900.000"
14,Al Qur'an Sunan Geseng,"Magelang",,Magelang,Magelang,,,"-","Tahfidz","Masjid, Asrama, Perpustakaan","2.500.000 - 4.000.000","750.000 - 1.000.000"
15,Pondok Pesantren Lirboyo,"-",,,"-",,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
16,Al Furqan,"Magelang",,Magelang,Magelang,,,"-","Salaf Modern","Masjid, Asrama, Sekolah Formal, Klinik Kesehatan","3.000.000 - 6.000.000","700.000 - 1.200.000"
17,Muhammadiyah Kota Magelang,"Magelang",,Magelang,Magelang,,,"-","Modern","Masjid, Asrama, Sekolah Formal","2.500.000 - 5.000.000","600.000 - 1.000.000"
18,Al Lu'Lu' Wal Marjan,"Magelang",,Magelang,Magelang,,,"-","Salaf Modern","Masjid, Asrama, Sekolah Formal","3.000.000 - 4.500.000","600.000 - 800.000"
19,Pesantren At Tazkia,"Magelang",,Magelang,Magelang,,,"-","Modern","Masjid, Perpustakaan, Asrama","4.000.000 - 7.000.000","900.000 - 1.200.000"
20,Anwarussalam,"Magelang",,Magelang,Magelang,,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.500.000 - 3.000.000","300.000 - 600.000"
21,Darul Hikmah,"Magelang",,Magelang,Magelang,,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
22,Al Hikmah,"Magelang",,Magelang,Magelang,,,"-","Modern","Masjid, Perpustakaan, Asrama","3.500.000 - 6.000.000","800.000 - 1.100.000"
23,Darussalam Gontor 5,"Magelang",,Magelang,Magelang,,,"-","Modern (KMI)","Masjid, Asrama, Laboratorium","7.000.000 - 12.000.000","1.200.000 - 2.000.000"
24,Nurul Huda,"Magelang",,Magelang,Magelang,,,"-","Salaf","Masjid, Asrama, Sekolah","1.000.000 - 1.500.000","150.000 - 300.000"
25,Al Madani Putra,"Magelang",,Magelang,Magelang,,,"-","Salaf","Masjid, Asrama, Laboratorium","2.000.000 - 4.000.000","400.000 - 700.000"
26,Al Madani Putri,"Magelang",,Magelang,Magelang,,,"-","Salaf","Masjid, Asrama, Laboratorium","2.000.000 - 4.000.000","400.000 - 700.000"
27,Pondok Pesantren An-Nuur,"Grabag",,Grabag,Grabag,,,"-","Salaf Kombinasi","Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
28,Al-Anwar,"Tempuran",,Tempuran,Tempuran,,,"-","Tahfidz","Masjid, Asrama, Perpustakaan","2.500.000 - 4.000.000","600.000 - 900.000"
29,Minhajul Athfal,"Salaman",,Salaman,Salaman,,,"-","Salaf","Masjid, Asrama, Sekolah","1.000.000 - 2.000.000","200.000 - 400.000"
30,Al-Muawanah,"Bandongan",,Bandongan,Bandongan,,,"-","Salaf","Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
31,Roudlotus Sholihin,"Salaman",,Salaman,Salaman,,,"-","Salaf","Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
32,Al-Kautsar,"Tempuran",,Tempuran,Tempuran,,,"-","Salaf","Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
33,An-Nur Grabag,"Grabag",,Grabag,Grabag,,,"-","Salaf Kombinasi","Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
34,Baitul Muttaqin,"Secang",,Secang,Secang,,,"-","Salaf Kombinasi","Masjid, Asrama, Madrasah, Koperasi","2.000.000 - 3.500.000","400.000 - 700.000"
35,Al-Mukminin,"Limpeh, Bandongan",,Bandongan,Bandongan,,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.500.000 - 3.000.000","300.000 - 600.000"
36,Miftahul Huda,"Tempuran",,Tempuran,Tempuran,,,"-","Salaf","Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
37,Pondok Pesantren Al Ihsan,"Secang",,Secang,Secang,,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
38,At-Taqwa,"Bandongan",,Bandongan,Bandongan,,,"-","Salaf","Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
39,Darul Ihya’,"Grabag",,Grabag,Grabag,,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
40,Darul Istiqomah,"Tegalrejo",,Tegalrejo,Tegalrejo,,,"-","Salaf","Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
41,Darul Muttaqin,"Muntilan",,Muntilan,Muntilan,,,"-","Modern","Masjid, Asrama, Perpustakaan","3.000.000 - 5.000.000","700.000 - 1.000.000"
42,Darul Ulum,"Tempuran",,Tempuran,Tempuran,,,"-","Salaf","Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
43,Al-Ikhlas,"Secang",,Secang,Secang,,,"-","Salaf Kombinasi","Masjid, Asrama, Madrasah, Perpustakaan","1.500.000 - 3.000.000","300.000 - 600.000"
44,Riyadlus Sholihin,"Muntilan",,Muntilan,Muntilan,,,"-","Tahfidz","Masjid, Asrama, Perpustakaan","2.000.000 - 3.000.000","700.000 - 900.000"
45,Al-Hidayah,"Tegalrejo",,Tegalrejo,Tegalrejo,,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
46,Miftahul Ulum,"Tempuran",,Tempuran,Tempuran,,,"-","Salaf Kombinasi","Masjid, Asrama, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
47,Darul Hidayah,"Salaman",,Salaman,Salaman,,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
48,Baiturrahim,"Grabag",,Grabag,Grabag,,,"-","Salaf","Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
49,Al-Muttaqin,"Bandongan",,Bandongan,Bandongan,,,"-","Salaf","Masjid, Asrama, Perpustakaan","1.500.000 - 3.000.000","300.000 - 600.000"
50,Miftahul Falah,"Muntilan",,Muntilan,Muntilan,,,"-","Salaf","Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
51,Al-Fatah,Muntilan,,,Muntilan,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
52,Darul Amin,Salaman,,,Salaman,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 350.000"
53,Nurul Iman,Bandongan,,,Bandongan,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.500.000 - 3.500.000","400.000 - 600.000"
54,An-Najah,Grabag,,,Grabag,,,"-",Salaf,"Masjid, Asrama, Sekolah","1.000.000 - 2.000.000","200.000 - 400.000"
55,At-Taufiq,Magelang,,,Magelang,,,"-",Modern,"Masjid, Sekolah, Asrama","4.000.000 - 7.000.000","900.000 - 1.200.000"
56,Al-Hikmah,Tegalrejo,,,Tegalrejo,,,"-",Salaf Kombinasi,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
57,Darul Ulum,Mungkid,,,Mungkid,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 350.000"
58,Al-Muttaqin,Muntilan,,,Muntilan,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.500.000 - 3.000.000","300.000 - 600.000"
59,Baiturrahman,Bandongan,,,Bandongan,,,"-",Salaf,"Masjid, Asrama, Koperasi","1.000.000 - 2.000.000","200.000 - 400.000"
60,Al-Barokah,Salaman,,,Salaman,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 300.000"
61,Al-Furqan,Tempuran,,,Tempuran,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
62,Darus Salam,Grabag,,,Grabag,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 350.000"
63,Miftahul Huda,Muntilan,,,Muntilan,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","150.000 - 300.000"
64,An-Nur,Magelang,,,Magelang,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah","2.000.000 - 3.000.000","400.000 - 600.000"
65,Al-Mu'min,Bandongan,,,Bandongan,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
66,Al-Barakah,Tegalrejo,,,Tegalrejo,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
67,Darul Hikmah,Grabag,,,Grabag,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 350.000"
68,Al-Hikmah Putri,Muntilan,,,Muntilan,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
69,Al-Muta'allimun,Salaman,,,Salaman,,,"-",Salaf,"Masjid, Asrama, Sekolah","1.000.000 - 2.000.000","150.000 - 300.000"
70,Al-Muttaqin Putri,Bandongan,,,Bandongan,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
71,An-Nasr,Tempuran,,,Tempuran,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","150.000 - 350.000"
72,Darul Qolam,Magelang,,,Magelang,,,"-",Modern,"Masjid, Asrama, Laboratorium","5.000.000 - 10.000.000","1.000.000 - 2.000.000"
73,Al-Muhajirin,Grabag,,,Grabag,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 1.500.000","150.000 - 300.000"
74,Darus Salam Putri,Mungkid,,,Mungkid,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
75,Al-Birr,Salaman,,,Salaman,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","150.000 - 300.000"
76,Al-Mukhlisin,Secang,,,Secang,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 350.000"
77,Nurul Jannah,Tegalrejo,,,Tegalrejo,,,"-",Salaf Kombinasi,"Masjid, Asrama, Perpustakaan","2.000.000 - 3.000.000","400.000 - 600.000"
78,Al-Khairat,Borobudur,,,Borobudur,,,"-",Salaf,"Masjid, Asrama, Koperasi","1.000.000 - 2.000.000","150.000 - 350.000"
79,Darul Qolam Putri,Muntilan,,,Muntilan,,,"-",Modern,"Masjid, Asrama, Laboratorium","5.000.000 - 10.000.000","1.000.000 - 2.000.000"
80,Al-Ittihad,Sawangan,,,Sawangan,,,"-",Tahfidz,"Masjid, Asrama, Madrasah","2.000.000 - 4.000.000","750.000 - 1.000.000"
81,Al-Falah,Mungkid,,,Mungkid,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.500.000","175.000 - 400.000"
82,Miftahul Mubtadiin,Secang,,,Secang,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
83,Al-Furqon,Borobudur,,,Borobudur,,,"-",Modern,"Masjid, Asrama, Lab Komputer","4.000.000 - 7.000.000","900.000 - 1.200.000"
84,Al-Manshur,Mungkid,,,Mungkid,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","150.000 - 350.000"
85,Al-Mustaqim,Tegalrejo,,,Tegalrejo,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","150.000 - 350.000"
86,Al-Muttaqin,Magelang,,,Magelang,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
87,Nurul Islam,Tempuran,,,Tempuran,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 350.000"
88,Nurul Hidayah,Grabag,,,Grabag,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 400.000"
89,Madinatul Qur'an,Tempuran,,,Tempuran,,,"-",Tahfidz,"Masjid, Asrama, Koperasi","2.000.000 - 4.000.000","700.000 - 1.200.000"
90,Al-Hikmah,Muntilan,,,Muntilan,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
91,Binaul Ummah,Sawangan,,,Sawangan,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
92,Al-Khoiriyah,Salaman,,,Salaman,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
93,Al-Muawanah,Bandongan,,,Bandongan,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.000.000","400.000 - 600.000"
94,Tahfidzul Qur'an,Salaman,,,Salaman,,,"-",Tahfidz,"Masjid, Asrama, Perpustakaan","2.000.000 - 4.000.000","750.000 - 1.000.000"
95,Al-Amin,Borobudur,,,Borobudur,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 400.000"
96,Al-Magfiroh,Mungkid,,,Mungkid,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","150.000 - 350.000"
97,Al-Inayah,Bandongan,,,Bandongan,,,"-",Salaf,"Masjid, Asrama, Koperasi","1.000.000 - 2.500.000","200.000 - 400.000"
98,At-Taqwa,Tegalrejo,,,Tegalrejo,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
99,Darul Muttaqin,Muntilan,,,Muntilan,,,"-",Modern,"Masjid, Asrama, Perpustakaan","3.000.000 - 5.000.000","700.000 - 1.000.000"
100,Fadhlul Wahid,Grabag,,,Grabag,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Koperasi","2.000.000 - 4.000.000","500.000 - 800.000"
101,Pondok Pesantren Darul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
102,Pondok Pesantren Al Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","150.000 - 350.000"
103,Pondok Pesantren Al Mukhlisin,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
104,Pondok Pesantren Al Hikmah,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
105,Pondok Pesantren An Nur,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
106,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","150.000 - 350.000"
107,Pondok Pesantren Darussalam,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
108,Pondok Pesantren Al Kautsar,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
109,Pondok Pesantren Darul Husna,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
110,Pondok Pesantren Al Jawa,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
111,Pondok Pesantren Darul Muttaqin,-,,,-,,,"-",Modern,"Masjid, Asrama, Perpustakaan","3.000.000 - 5.000.000","700.000 - 1.000.000"
112,Pondok Pesantren Al Furqan,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
113,Pondok Pesantren Miftahul Ulum,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
114,Pondok Pesantren Al Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
115,Pondok Pesantren Al-Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
116,Pondok Pesantren Al Islam,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
117,Pondok Pesantren Al Mubarok,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
118,Pondok Pesantren Darussalam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
119,Pondok Pesantren Darul Hikmah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
120,Pondok Pesantren An Nur,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
121,Pondok Pesantren Miftahul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
122,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
123,Pondok Pesantren At Taqwa,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
124,Pondok Pesantren Al Miftah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
125,Pondok Pesantren An Najah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
126,Pondok Pesantren Al Hidayat,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
127,Pondok Pesantren Darul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
128,Pondok Pesantren Al Hikmah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
129,Pondok Pesantren Miftahul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
130,Pondok Pesantren Nurul Huda,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
131,Pondok Pesantren Al Mubarok,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
132,Pondok Pesantren Darussalam,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
133,Pondok Pesantren At Taqwa,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
134,Pondok Pesantren Asy Syuhada,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
135,Pondok Pesantren Al Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
136,Pondok Pesantren Darul Hikmah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
137,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
138,Pondok Pesantren Miftahul Ulum,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
139,Pondok Pesantren Nurul Iman,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 600.000"
140,Pondok Pesantren Al Hikmah,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.500.000","200.000 - 400.000"
141,Pondok Pesantren Nurul Iman,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 600.000"
142,Pondok Pesantren Al Amin,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
143,Pondok Pesantren Darul Amanah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
144,Pondok Pesantren Darul Ulum,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
145,Pondok Pesantren Al Fatah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
146,Pondok Pesantren At Taufiq,-,,,-,,,"-",Modern,"Masjid, Sekolah, Asrama","4.000.000 - 7.000.000","900.000 - 1.200.000"
147,Pondok Pesantren Al Muthmainnah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Sekolah","1.000.000 - 2.000.000","200.000 - 400.000"
148,Pondok Pesantren Darul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
149,Pondok Pesantren Al Mujahidin,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
150,Pondok Pesantren Al Istiqomah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
151,Pondok Pesantren Baiturrahman,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
152,Pondok Pesantren Al Mufid,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
153,Pondok Pesantren Miftahul Jannah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
154,Pondok Pesantren Darul Ma'arif,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
155,Pondok Pesantren Nurul Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
156,Pondok Pesantren Al Ikhlas,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
157,Pondok Pesantren Miftahul Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah, Perpustakaan","1.000.000 - 2.000.000","200.000 - 400.000"
158,Pondok Pesantren Al Ittihad,-,,,-,,,"-",Tahfidz,"Masjid, Asrama, Madrasah","2.000.000 - 4.000.000","750.000 - 1.000.000"
159,Pondok Pesantren Darul Muttaqin,-,,,-,,,"-",Modern,"Masjid, Asrama, Perpustakaan","3.000.000 - 5.000.000","700.000 - 1.000.000"
160,Pondok Pesantren Al Hidayah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
161,Pondok Pesantren Al Ishlah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
162,Pondok Pesantren Al Falah,-,,,-,,,"-",Salaf,"Masjid, Asrama, Madrasah","1.000.000 - 2.000.000","200.000 - 400.000"
163,Pondok Pesantren Miftahul Falak,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
164,Pondok Pesantren Baitul Makmur,-,,,-,,,"-",Salaf Kombinasi,"Masjid, Asrama, Madrasah, Perpustakaan","2.000.000 - 3.500.000","400.000 - 700.000"
165,Pondok Pesantren Al Ishlah,-,,,-,,,"-",Salaf,"Masjid, Asrama","1.000.000 - 2.000.000","200.000 - 400.000"
